,line,name,lat,lng,no
0,01호선,소요산,37.9481,127.061034,100
1,01호선,동두천,37.927878,127.05479,101
2,01호선,보산,37.913702,127.057277,102
3,01호선,동두천중앙,37.901885,127.056482,103
4,01호선,지행,37.892334,127.055716,104
5,01호선,덕정,37.843188,127.061277,105
6,01호선,덕계,37.818486,127.056486,106
7,01호선,양주,37.774381,127.044708,107
8,01호선,녹양,37.75938,127.042292,108
9,01호선,가능,37.748577,127.044213,109
10,01호선,의정부,37.738415,127.045958,110
11,01호선,회룡,37.724846,127.046895,111
12,01호선,망월사,37.709914,127.047455,112
13,01호선,도봉산,37.689313,127.046222,113
14,01호선,도봉,37.679563,127.045595,114
15,01호선,방학,37.667503,127.044273,115
16,01호선,창동,37.653166,127.047731,116
17,01호선,녹천,37.644799,127.051269,117
18,01호선,월계,37.633212,127.058831,118
19,01호선,광운대,37.623632,127.061835,119
20,01호선,석계,37.614805,127.065851,120
21,01호선,신이문,37.601854,127.067325,121
22,01호선,외대앞,37.596073,127.063549,122
23,01호선,회기,37.58946,127.057583,123
24,01호선,청량리,37.580178,127.046835,124
25,01호선,제기동,37.578103,127.034893,125
26,01호선,신설동,37.575297,127.025087,126
27,01호선,동묘앞,37.572627,127.016429,127
28,01호선,동대문,37.57142,127.009745,128
29,01호선,종로5가,37.570926,127.001849,129
30,01호선,종로3가,37.571607,126.991806,130
31,01호선,종각,37.570161,126.982923,131
32,01호선,시청,37.564718,126.977108,132
33,01호선,서울역,37.554648,126.972559,133
34,01호선,남영,37.541021,126.9713,134
35,01호선,용산,37.529849,126.964561,135
36,01호선,노량진,37.514219,126.942454,136
37,01호선,대방,37.513342,126.926382,137
38,01호선,신길,37.517122,126.917169,138
39,01호선,영등포,37.515504,126.907628,139
40,01호선,신도림,37.508725,126.891295,140
41,01호선,구로,37.503039,126.881966,141
42,01호선,구일,37.496756,126.870793,142
43,01호선,개봉,37.494594,126.85868,143
44,01호선,오류동,37.494526,126.845365,144
45,01호선,온수,37.492258,126.823388,145
46,01호선,역곡,37.485178,126.811502,146
47,01호선,소사,37.482753,126.79544,147
48,01호선,부천,37.48405,126.782686,148
49,01호선,중동,37.486562,126.764843,149
50,01호선,송내,37.4876,126.753664,150
51,01호선,부개,37.488418,126.74109,151
52,01호선,부평,37.489493,126.724805,152
53,01호선,백운,37.483664,126.707704,153
54,01호선,동암,37.471408,126.702896,154
55,01호선,간석,37.464737,126.694181,155
56,01호선,주안,37.464941,126.679923,156
57,01호선,도화,37.46607,126.668672,157
58,01호선,제물포,37.466769,126.656666,158
59,01호선,도원,37.468446,126.642706,159
60,01호선,동인천,37.475276,126.632802,160
